ParName   Value   Gradient
MGparm[2]      11.9253  9.77467e-07
MGparm[3]      31.8862  4.93599e-06
MGparm[4]     0.291653  1.42953e-06
MGparm[5]    0.0883368 -1.07101e-05
MGparm[6]     0.119312   1.0938e-05
MGparm[15]    -0.143367   1.1308e-05
MGparm[16]   -0.0798262 -1.28297e-06
MGparm[17]      1.31848  8.35611e-06
MGparm[18]    -0.494793  5.92628e-07
SR_parm[1]      8.19417  1.25886e-05
recdev_early(1966)    -0.197297  5.97355e-06
recdev_early(1967)    -0.186326 -2.66033e-05
recdev_early(1968)    -0.227736 -4.04281e-06
recdev_early(1969)    -0.262359 -1.94407e-06
recdev_early(1970)    -0.344589  -5.5896e-06
recdev_early(1971)    -0.532969   8.7661e-07
recdev_early(1972)    -0.624053   4.2805e-05
recdev_early(1973)    -0.665385  9.61912e-06
recdev_early(1974)    -0.459362 -3.15518e-06
recdev_early(1975)     0.728099  -1.2043e-05
recdev_early(1976)     0.563267  5.43978e-06
recdev_early(1977)     0.741553  1.07239e-05
recdev_early(1978)     0.105976 -1.84126e-05
recdev_early(1979)    -0.573321 -2.35577e-05
recdev_early(1980)    -0.873605  1.99992e-06
recdev_early(1981)    -0.825502  2.25151e-05
recdev_early(1982)    -0.484426  1.84328e-05
recdev_early(1983)    -0.047152  -1.4273e-05
recdev_early(1984)     0.867064  1.35088e-06
recdev1(1985)      1.14633  2.47016e-06
recdev1(1986)    0.0988511 -4.82281e-06
recdev1(1987)    -0.589048 -2.57279e-05
recdev1(1988)    -0.695132 -1.63902e-06
recdev1(1989)    -0.812788  1.22107e-05
recdev1(1990)    -0.658076  3.10151e-05
recdev1(1991)      0.60438 -1.22399e-05
recdev1(1992)     0.708335  1.30466e-05
recdev1(1993)     0.926122 -1.08916e-05
recdev1(1994)     0.476585 -4.58737e-06
recdev1(1995)   -0.0376735  1.63379e-05
recdev1(1996)      0.69652 -1.15348e-05
recdev1(1997)     0.282397 -2.89772e-06
recdev1(1998)     0.419105   1.8612e-05
recdev1(1999)     0.343415 -1.52949e-05
recdev1(2000)   -0.0887944 -1.38778e-05
recdev1(2001)     0.125051  2.03164e-05
recdev1(2002)    -0.355453 -2.63897e-05
recdev1(2003)     -0.49473  7.84333e-06
recdev1(2004)    -0.452457  6.89546e-06
recdev1(2005)         0.16 -2.50183e-06
recdev1(2006)    -0.277709 -3.62617e-06
recdev1(2007)    -0.310575 -7.47077e-08
recdev1(2008)    -0.299835  3.57922e-06
recdev1(2009)    -0.168037 -2.28539e-07
recdev1(2010)    -0.199677  -3.8244e-06
recdev1(2011)    -0.937616 -7.03502e-06
recdev1(2012)    -0.989963  4.25151e-06
recdev1(2013)     0.234308  8.04984e-08
recdev1(2014)     0.190461  3.37614e-06
recdev1(2015)       0.9557  7.01928e-06
Fcast_recruitments(2016)            0            0
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Q_parm[2]    0.0115456  4.02045e-07
Q_parm[4]      0.25776  -4.6625e-06
Q_parm[6]    0.0667871 -5.48451e-07
Q_parm[8]     0.217079  1.22929e-05
Q_parm[10]     0.253131 -6.39373e-07
Q_parm[12]     0.158813 -6.08985e-07
Q_parm[14]     0.135635  2.43363e-06
selparm[1]       24.436  7.63796e-08
selparm[3]      2.11858 -4.92271e-07
selparm[5]     -15.5372  -2.5366e-06
selparm[9]        5.146  2.12011e-06
selparm[11]      -16.399  1.61182e-06
selparm[15]      42.0434  2.52079e-06
selparm[17]      4.57211 -3.20507e-05
selparm[19]     -8.07507 -2.60573e-06
selparm[21]       37.769 -2.64304e-06
selparm[23]        4.609  5.66221e-07
selparm[25]     -8.37028 -1.38183e-06
selparm[27]      22.4694  9.60242e-06
selparm[28]     -11.2066  5.27731e-06
selparm[29]      3.68427  1.12986e-05
selparm[30]     -10.9153 -2.71495e-06
selparm[31]     -2.63232 -3.30945e-06
selparm[32]     -2.58272 -5.44454e-06
selparm[33]      23.6781 -4.51747e-06
selparm[35]      3.00462  4.17996e-06
selparm[37]     -4.58232 -7.78317e-07
selparm[39]      23.0979 -1.86763e-06
selparm[41]      3.44277   4.7886e-07
selparm[43]     -12.7303 -2.01438e-06
selparm[48]     -5.92807 -4.14149e-07
selparm[50]       2.7008  -5.1772e-06
selparm[52]    -0.610813  5.63837e-06
selparm[57]      28.4274 -1.07184e-05
selparm[58]      2.02851 -9.96287e-07
selparm[60]      4.20332  2.85539e-07
selparm[61]      36.6717  8.92197e-08
selparm[62]      35.7646  1.54887e-06
selparm[63]      3.61572 -2.05219e-06
selparm[64]      3.46172 -2.96004e-06
selparm[65]      32.7563  1.66153e-06
selparm[66]      26.9994 -2.89222e-07
selparm[67]      3.26975 -3.69718e-06
selparm[68]      1.16138 -6.11785e-06
selparm[70]      24.5131  5.18478e-06
selparm[71]      5.53497 -1.15864e-06
selparm[72]      2.15428  8.94795e-06
