ParName   Value   Gradient
MGparm[2]      11.9253 2.53617e-006
MGparm[3]      31.8862 -2.38652e-006
MGparm[4]     0.291653 8.10179e-007
MGparm[5]    0.0883368 -1.74181e-006
MGparm[6]     0.119312 7.00506e-007
MGparm[15]    -0.143367 -2.36876e-006
MGparm[16]   -0.0798262 -1.77635e-006
MGparm[17]      1.31848 1.45491e-006
MGparm[18]    -0.494793 -8.4454e-007
SR_parm[1]      8.19417 -1.32177e-006
recdev_early(1966)    -0.197298 -1.48139e-005
recdev_early(1967)    -0.186325 6.47232e-006
recdev_early(1968)    -0.227736 1.22335e-005
recdev_early(1969)    -0.262359 -5.30661e-006
recdev_early(1970)     -0.34459 -2.3239e-005
recdev_early(1971)     -0.53297 -8.61429e-006
recdev_early(1972)    -0.624053 3.61325e-005
recdev_early(1973)    -0.665384 1.91342e-005
recdev_early(1974)    -0.459362 -1.70328e-007
recdev_early(1975)     0.728099 -1.4949e-005
recdev_early(1976)     0.563267 -5.41052e-006
recdev_early(1977)     0.741552 9.47883e-006
recdev_early(1978)     0.105976 -8.01128e-007
recdev_early(1979)    -0.573321 -1.55843e-005
recdev_early(1980)    -0.873605 -2.72065e-006
recdev_early(1981)    -0.825502 9.46086e-006
recdev_early(1982)    -0.484427 -5.89585e-006
recdev_early(1983)   -0.0471516 -4.84922e-006
recdev_early(1984)     0.867063 -6.65642e-008
recdev1(1985)      1.14633 4.20966e-006
recdev1(1986)    0.0988511 -5.43624e-006
recdev1(1987)    -0.589047 -1.07238e-006
recdev1(1988)    -0.695132 -8.00421e-007
recdev1(1989)    -0.812788 2.89716e-006
recdev1(1990)    -0.658077 1.86091e-005
recdev1(1991)      0.60438 -7.49703e-006
recdev1(1992)     0.708335  7.3038e-006
recdev1(1993)     0.926122 -7.15828e-006
recdev1(1994)     0.476585 3.36092e-006
recdev1(1995)   -0.0376737  1.3462e-005
recdev1(1996)      0.69652 -7.14552e-006
recdev1(1997)     0.282397 -4.7692e-006
recdev1(1998)     0.419105 1.03279e-005
recdev1(1999)     0.343415 -6.98779e-006
recdev1(2000)   -0.0887943 -9.60458e-006
recdev1(2001)     0.125051 1.44376e-005
recdev1(2002)    -0.355452 -1.83819e-005
recdev1(2003)     -0.49473 9.80283e-006
recdev1(2004)    -0.452458 -4.30534e-006
recdev1(2005)         0.16 -3.27942e-008
recdev1(2006)    -0.277709 -1.77443e-006
recdev1(2007)    -0.310575 8.02375e-007
recdev1(2008)    -0.299835 -1.21066e-006
recdev1(2009)    -0.168037 1.67551e-006
recdev1(2010)    -0.199677 -5.78873e-006
recdev1(2011)    -0.937615 1.74597e-005
recdev1(2012)    -0.989964 -1.21055e-005
recdev1(2013)     0.234308 -2.12011e-007
recdev1(2014)     0.190461 6.04867e-007
recdev1(2015)       0.9557 -1.06706e-005
Fcast_recruitments(2016)            0            0
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Q_parm[2]    0.0115456 2.02558e-006
Q_parm[4]      0.25776 -1.32926e-005
Q_parm[6]    0.0667871 2.26863e-006
Q_parm[8]     0.217079 2.49372e-005
Q_parm[10]     0.253131 -2.99679e-007
Q_parm[12]     0.158813 -8.63881e-008
Q_parm[14]     0.135635   2.539e-006
selparm[1]       24.436 -2.85153e-006
selparm[3]      2.11858 -4.76392e-006
selparm[5]     -15.5372 -2.48777e-006
selparm[9]        5.146 2.15242e-007
selparm[11]     -16.4002 2.42178e-008
selparm[15]      42.0434  2.3949e-007
selparm[17]      4.57211 -2.20294e-006
selparm[19]     -8.07507 -5.91801e-008
selparm[21]       37.769 4.60208e-006
selparm[23]        4.609 2.14271e-006
selparm[25]     -8.37028 -3.3481e-006
selparm[27]      22.4694 -5.2218e-008
selparm[28]     -11.2065 5.45516e-006
selparm[29]      3.68427 -3.75577e-006
selparm[30]     -10.9152 -1.55708e-006
selparm[31]     -2.63232 1.84715e-006
selparm[32]     -2.58272 -1.57983e-006
selparm[33]      23.6781 -8.72543e-008
selparm[35]      3.00462 5.82963e-007
selparm[37]     -4.58232 1.13028e-006
selparm[39]      23.0979 -8.52396e-007
selparm[41]      3.44277 1.47618e-007
selparm[43]     -12.7302 -1.98849e-006
selparm[48]     -5.92807 -1.39783e-006
selparm[50]       2.7008 -2.06221e-005
selparm[52]    -0.610812 6.96683e-006
selparm[57]      28.4274 -7.70222e-007
selparm[58]      2.02851  2.6814e-007
selparm[60]      4.20332 1.73291e-007
selparm[61]      36.6717 6.70696e-007
selparm[62]      35.7646 9.28024e-007
selparm[63]      3.61572 7.00547e-007
selparm[64]      3.46172 -7.02392e-007
selparm[65]      32.7563 -1.15531e-005
selparm[66]      26.9994 -6.83536e-006
selparm[67]      3.26975 -6.16138e-006
selparm[68]      1.16138 -1.97403e-005
selparm[70]      24.5131 9.46253e-006
selparm[71]      5.53497 -8.29005e-008
selparm[72]      2.15428 -1.08963e-006
