Year,N measured,N trips,Mean length,Source
1974,4,3,27.75,
1975,29,12,23.34,
1976,52,9,21.69,
1977,115,28,20.28,
1978,79,23,18.72,
1983,1,1,11,
1990,1,1,4,
1992,236,39,16.88,
1993,454,52,16.9,
1994,1283,68,16.7,
1995,444,30,19.55,
1996,716,40,19.17,
1997,268,26,21.49,
1998,218,35,16.68,
1999,149,49,15.5,
2000,238,26,19.25,
2001,282,30,18.91,
2002,155,25,17.68,
2003,135,25,20.89,
2004,269,23,22.14,
2005,390,31,18.04,
2006,292,52,15.32,
2007,414,37,15.96,
2008,232,41,16.26,
2009,209,34,15.39,
2010,152,27,14.31,
2011,96,24,20.76,
2012,26,12,18.04,
2013,66,14,12.08,
2014,24,9,12.67,
2015,28,10,14.18,
2016,16,4,16.19,
