Year,N measured,N trips,Mean length,Source
1980,132,68,26.57,MRFSS
1981,191,76,25.84,MRFSS
1982,199,90,27.43,MRFSS
1983,63,37,28.21,MRFSS
1984,81,44,28.21,MRFSS
1985,76,40,27.78,MRFSS
1986,34,22,27.03,MRFSS
1987,42,28,27.45,MRFSS
1988,177,65,25.63,MRFSS
1989,136,55,25.35,MRFSS
1993,112,62,28.05,MRFSS
1994,136,67,26.96,MRFSS
1995,102,55,25.79,MRFSS
1996,101,70,26.44,MRFSS
1997,90,55,26.93,MRFSS
1998,116,62,26.8,MRFSS
1999,312,138,27.32,MRFSS
2000,142,70,27.77,MRFSS
2001,96,52,27.7,MRFSS
2002,178,94,28.98,MRFSS
2003,148,82,27.82,MRFSS
2004,286,165,30.58,CRFS
2005,297,171,31.13,CRFS
2006,663,314,30.85,CRFS
2007,412,253,31.47,CRFS
2008,356,237,30.91,CRFS
2009,471,280,30.84,CRFS
2010,241,150,30.39,CRFS
2011,244,131,30.55,CRFS
2012,158,95,30.65,CRFS
2013,226,144,30.72,CRFS
2014,153,92,30.52,CRFS
2015,106,68,31.27,CRFS
2016,89,53,30.51,CRFS
