Year,N measured,N trips,Mean length,Source
1984,6,5,20.5,CDFW unpublished
1985,55,34,18.87,Ally et al. (1991)
1986,88,30,18.26,Ally et al. (1991)
1987,72,34,19.07,Ally et al. (1991)
1988,70,32,20.03,CDFW unpublished
1989,11,11,22.55,CDFW unpublished
2003,121,41,23.9,Onboard Observer
2004,40,13,25.53,Onboard Observer
2005,161,31,25.12,Onboard Observer
2006,222,58,24.25,Onboard Observer
2007,207,32,22.95,Onboard Observer
2008,455,58,22.95,Onboard Observer
2009,396,75,22.48,Onboard Observer
2010,873,111,22.83,Onboard Observer
2011,103,32,18.82,Onboard Observer
2012,62,18,19.19,Onboard Observer
2013,124,31,22.44,Onboard Observer
2014,73,22,23.42,Onboard Observer
2015,19,10,24.63,Onboard Observer
2016,37,8,23.7,Onboard Observer
