Year,N measured,N trips,Mean length
1970,36,5,23.80148
1971,23,8,23.42056
1972,77,28,24.52168
1973,108,30,25.30731
1974,57,31,29.04893
1975,54,25,28.76028
1976,61,37,26.87975
1977,93,53,24.70392
1978,83,32,24.48297
1979,340,100,23.14644
1980,352,107,23.22893
1981,388,97,24.31357
1982,631,103,25.42705
1983,118,64,26.67011
1984,72,41,26.16721
1985,109,67,26.4605
1986,171,105,24.72523
1987,276,143,24.80402
1988,278,174,23.94418
1989,203,138,25.38456
1990,230,120,25.81774
1991,162,95,26.02558
1992,204,121,26.41234
1993,275,155,24.06397
1994,299,177,24.01391
1995,371,207,23.29137
1996,489,215,23.35541
1997,458,229,23.93557
1998,358,178,23.89134
1999,461,240,24.09874
2000,319,209,23.84099
2001,510,266,24.26778
2002,1552,203,23.81204
2003,376,206,24.80332
2004,801,199,25.2507
2005,1292,253,24.91667
2006,844,271,24.72312
2007,242,152,25.0077
2008,212,145,24.43456
2009,211,140,23.60938
2010,125,89,24.76249
2011,131,107,23.86906
2012,53,40,25.6812
2013,11,11,23.71373
2014,40,36,25.83629
2015,59,46,22.92495
2016,31,28,19.52898
