Year,PC retained,PC discarded,PR retained,PR discarded,MM retained,MM discarded,BB retained,BB discarded,Total retained,Total discarded
1929,0.5407,0.0033,0.0601,0.0004,0.0003,0.0000,,,0.60108,0.00374
1930,1.0814,0.0067,0.1202,0.0007,0.0006,0.0001,,,1.20216,0.00748
1931,1.6221,0.0100,0.1802,0.0011,0.0009,0.0001,,,1.80324,0.01123
1932,2.1628,0.0134,0.2403,0.0015,0.0011,0.0001,0.0000,,2.40431,0.01497
1933,2.7036,0.0167,0.3004,0.0019,0.0014,0.0001,0.0000,,3.00538,0.01871
1934,3.2443,0.0200,0.3605,0.0022,0.0017,0.0002,0.0000,,3.60645,0.02245
1935,3.7850,0.0234,0.4206,0.0026,0.0020,0.0002,0.0000,,4.20751,0.02620
1936,4.3257,0.0267,0.4806,0.0030,0.0022,0.0002,0.0000,,4.80857,0.02994
1937,3.0097,0.0186,0.3344,0.0021,0.0015,0.0002,0.0000,,3.34565,0.02083
1938,5.0579,0.0312,0.5620,0.0035,0.0026,0.0003,0.0000,,5.62249,0.03500
1939,3.8998,0.0241,0.4333,0.0027,0.0020,0.0002,0.0000,,4.33505,0.02699
1940,3.6148,0.0223,0.4016,0.0025,0.0018,0.0002,0.0000,,4.01823,0.02501
1941,,,,,,,,,0,0
1942,,,,,,,,,0,0
1943,,,,,,,,,0,0
1944,,,,,,,,,0,0
1945,,,,,,,,,0,0
1946,,,,,,,,,0,0
1947,15.7306,0.0972,1.7478,0.0108,0.0099,0.0009,0.0001,,17.48832,0.10891
1948,32.6731,0.2019,3.6303,0.0224,0.0212,0.0018,0.0001,,36.32478,0.22624
1949,23.1173,0.1428,2.5686,0.0159,0.0146,0.0012,0.0001,,25.70055,0.16003
1950,30.2936,0.1872,3.3660,0.0208,0.0186,0.0016,0.0001,,33.67823,0.20965
1951,18.8448,0.1164,2.0939,0.0129,0.0113,0.0010,0.0001,,20.95005,0.13039
1952,20.4797,0.1265,2.2755,0.0141,0.0119,0.0010,0.0001,,22.76717,0.14167
1953,17.2370,0.1065,1.9152,0.0118,0.0098,0.0008,0.0001,,19.16206,0.11921
1954,20.2661,0.1252,2.2518,0.0139,0.0113,0.0009,0.0001,,22.52922,0.14013
1955,17.3278,0.1071,1.9253,0.0119,0.0095,0.0008,0.0000,,19.26261,0.11982
1956,15.2608,0.0943,1.6956,0.0105,0.0081,0.0007,0.0000,,16.96458,0.10552
1957,8.4397,0.0521,0.9377,0.0058,0.0044,0.0004,0.0000,,9.38179,0.05839
1958,8.6044,0.0532,0.9560,0.0059,0.0045,0.0005,0.0000,,9.56495,0.05957
1959,7.1888,0.0444,0.7988,0.0049,0.0037,0.0004,0.0000,,7.99124,0.04976
1960,9.4650,0.0585,1.0517,0.0065,0.0047,0.0005,0.0000,,10.52140,0.06552
1961,16.7064,0.1032,1.8563,0.0115,0.0081,0.0009,0.0000,,18.57085,0.11567
1962,20.8668,0.1289,2.3185,0.0143,0.0099,0.0011,0.0000,,23.19520,0.14446
1963,33.7530,0.2085,3.7503,0.0232,0.0156,0.0018,0.0001,,37.51893,0.23366
1964,46.2534,0.2858,5.1393,0.0318,0.0208,0.0026,0.0001,,51.41346,0.32027
1965,45.0282,0.2782,5.0031,0.0309,0.0199,0.0025,0.0001,,50.05132,0.31182
1966,43.7354,0.2702,6.4117,0.0396,0.0249,0.0032,0.0001,,50.17197,0.31332
1967,39.6364,0.2449,7.3103,0.0452,0.0279,0.0036,0.0001,,46.97471,0.29397
1968,37.4961,0.2317,8.4309,0.0521,0.0327,0.0041,0.0001,,45.95987,0.28813
1969,39.4679,0.2438,10.5820,0.0654,0.0406,0.0050,0.0002,,50.09068,0.31455
1970,51.6890,0.3193,16.2590,0.1005,0.0615,0.0074,0.0002,0.00055,68.00964,0.42774
1971,53.1866,0.3286,19.3877,0.1198,0.0714,0.0086,0.0003,0.00061,72.64595,0.45757
