Label,R07200,R07500,R08000,R08500,R08800,h0410,h0570,h0710,h0870,h0990,M0220,M0260,M0300,M0350,M0400
Female M,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.22,0.26,0.3,0.35,0.4
Steepness,0.718,0.718,0.718,0.718,0.718,0.41,0.57,0.71,0.87,0.99,0.718,0.718,0.718,0.718,0.718
lnR0,7.2,7.5,8,8.5,8.8,8.328,8.208,8.158,8.124,8.107,7.662,8.199,8.95,12.288,30.861
Total biomass (m),1100.99,1479.13,2399.06,3900,5254.49,3281.22,2925.73,2789.28,2701.53,2658.7,2248.53,2848.74,4617.39,96500.2,8.52E+12
Depletion (\%),53.148,48.511,53.609,65.826,70.854,51.632,55.704,57.727,59.198,59.974,48.058,58.558,68.554,79.826,80.256
SPR ratio,0.963,0.963,0.964,0.964,0.964,0.964,0.964,0.964,0.964,0.964,0.962,0.964,0.966,0.969,0.972
Female Lmin,11.487,11.736,12.396,12.516,12.505,12.479,12.474,12.467,12.462,12.458,12.421,12.468,12.46,12.414,12.267
Female Lmax,34.191,34.016,33.498,32.953,32.709,33.211,33.292,33.32,33.337,33.344,33.247,33.324,33.32,33.257,33.732
Female K,0.241,0.245,0.249,0.254,0.258,0.25,0.249,0.249,0.25,0.25,0.253,0.249,0.248,0.247,0.238
Male Lmin (offset),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male Lmax (offset),-0.187,-0.179,-0.161,-0.155,-0.154,-0.157,-0.158,-0.159,-0.159,-0.159,-0.162,-0.158,-0.154,-0.147,-0.149
Male K (offset),-0.056,-0.13,-0.294,-0.274,-0.246,-0.278,-0.293,-0.299,-0.302,-0.304,-0.273,-0.3,-0.313,-0.32,-0.359
Negative log-likelihood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOTAL,1143.29,1117.36,1097.3,1098.47,1101.2,1100.52,1097.8,1096.58,1095.96,1099.46,1101.91,1096.19,1092.17,1089.1,1090.71
Catch,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
Equil\_catch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Survey,-100.932,-100.633,-98.821,-96.85,-96.131,-98.27,-98.183,-98.122,-98.066,-98.031,-97.794,-98.139,-98.338,-98.329,-98.96
Length\_comp,759.649,758.268,760.622,766.556,769.436,764.445,763.129,762.507,762.051,761.808,765.048,762.314,760.3,758.576,754.635
Age\_comp,444.54,436.5,423.261,417.522,416.615,419.732,420.319,420.564,420.728,420.81,421.992,420.465,419.108,417.805,424.231
Recruitment,40.029,23.215,12.232,11.236,11.277,13.232,12.106,11.616,11.278,11.106,12.589,11.542,11.036,10.799,10.29
Forecast\_Recruitment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parm\_priors,0,0,0,0,0,1.38,0.42,0.014,-0.036,3.761,0.063,0,0.062,0.247,0.508
Parm\_softbounds,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005
Parm\_devs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crash\_Pen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
