VarName,Base,Retro1,Retro2,Retro3,Retro4
Female M,0.257,0.257,0.257,0.257,0.257
Steepness,0.718,0.718,0.718,0.718,0.718
lnR0,8.162,8.082,8.062,8.032,8.075
Total biomass (m),2801.84,2583.95,2557.25,2487.92,2638.26
Depletion (%),57.43,53.925,51.092,51.11,55.23
SPR ratio,0.718,0.84,0.963,0.963,0.963
Female Lmin,12.468,12.486,12.94,12.672,13.057
Female Lmax,33.317,33.51,33.389,33.371,33.457
Female K,0.25,0.24,0.241,0.245,0.234
Male Lmin (offset),0,0,0,0,0
Male Lmax (offset),-0.158,-0.162,-0.153,-0.155,-0.148
Male K (offset),-0.299,-0.305,-0.44,-0.421,-0.57
Negative log-likelihood,NA,NA,NA,NA,NA
TOTAL,1095.94,1046.89,1008.74,961.278,896.59
Catch,0,0,0,0,0
Equil_catch,0,0,0,0,0
Survey,-98.1,-91.996,-89.114,-81.746,-80.599
Length_comp,762.595,739.385,719.843,699.579,670.143
Age_comp,420.571,389.684,369.156,335.509,299.182
Recruitment,10.867,9.809,8.849,7.929,7.858
Forecast_Recruitment,0,0,0,0,0
Parm_priors,0,0,0,0,0
Parm_softbounds,0.006,0.006,0.006,0.006,0.006
Parm_devs,0,0,0,0,0
Crash_Pen,0,0,0,0,0
