Label,Base,Default Weights,Weight Harmonic Mean,Est. one M,EstMEsth,No_PR,No_PC,No_RecDD
Female natural mortality,0.257,0.257,0.257,0.256,0.252,0.257,0.257,0.257
Male natural mortality,0.208,0.215,0.194,0.256,0.252,0.21,0.189,0.207
Steepness,0.718,0.718,0.718,0.718,0.881,0.718,0.718,0.718
lnR0,8.16,8.257,8.034,8.434,8.337,8.257,7.856,8.198
Total Biomass (mt),2796.86,2856.03,2429.68,3110.57,2904.86,3075.03,2221.83,2885.61
Depletion,0.574,0.765,0.65,0.591,0.593,0.554,0.43,0.649
SPR ratio,0.719,0.621,0.788,0.641,0.677,0.696,1.02,0.695
Female Lmin,12.434,12.318,12.321,11.976,11.978,11.627,12.287,12.079
Female Lmax,33.312,33.766,34.55,32.47,32.49,33.198,33.376,33.083
Female K,0.25,0.223,0.216,0.264,0.265,0.266,0.256,0.259
Male Lmin (offset),0,0,0,0,0,0,0,0
Male Lmax (offset),-0.159,-0.169,-0.168,-0.143,-0.144,-0.175,-0.154,-0.155
Male K (offset),-0.295,-0.369,-0.833,-0.157,-0.161,-0.091,-0.38,-0.29
Negative log-likelihood,NA,NA,NA,NA,NA,NA,NA,NA
No. parameters,113,113,113,113,114,113,113,113
TOTAL,1097.3,3788.31,2302.18,1108.05,1107.55,918.798,1056.73,1078.36
Catch,0,0,0,0,0,0,0.001,0
Equililibrium catch,0,0,0,0,0,0,0,0
Survey,-98.116,-87.709,-87.939,-98.42,-98.341,-79.457,-78.367,-80.195
Length composition,763.017,2523.37,1684.19,765.37,765.101,571.447,704.567,727.284
Age composition,421.518,1320.36,682.926,430.553,430.497,418.508,421.367,419.663
Recruitment,10.88,32.284,22.995,10.54,10.298,8.289,9.15,11.591
Forecast Recruitment,0,0,0,0,0,0,0,0
Parameter priors,0,0,0,0,-0.011,0,0,0
Parameter softbounds,0.006,0.006,0.005,0.005,0.005,0.011,0.016,0.016
Parameter devs,0,0,0,0,0,0,0,0
Crash Pen,0,0,0,0,0,0,0,0
