Factor,Fleet,New_Var_adj,hash,Old_Var_adj,New_Francis,New_MI,Francis_mult,Francis_lo,Francis_hi,MI_mult,Type,Name
4,1,0.683056,#,1,0.683056,1.158904,0.683056,0.433383,13.160714,1.158904,len,ComHL
4,2,0.112441,#,1,0.112441,0.370365,0.112441,0.078418,0.453589,0.370365,len,ComNet
4,3,0.961062,#,1,0.961062,1.130042,0.961062,0.672638,2.739119,1.130042,len,ComTrawl
4,4,0.72827,#,1,0.72827,1.077073,0.72827,0.526118,1.183978,1.077073,len,RecPR
4,5,0.135779,#,1,0.135779,0.720201,0.135779,0.087286,0.281298,0.720201,len,RecPC
4,6,0.13574,#,1,0.13574,0.515749,0.13574,0.104322,0.257617,0.515749,len,RecDD
4,7,0.26669,#,1,0.26669,0.184538,0.26669,0.188917,0.430652,0.184538,len,Sanitation
4,8,0.719371,#,1,0.719371,4.362076,0.719371,0.455681,1.720638,4.362076,len,NWFSCTrawl
4,9,0.329829,#,1,0.329829,0.581123,0.329829,0.210017,0.9079,0.581123,len,GillnetSurvey
4,10,0.169729,#,1,0.169729,0.930684,0.169729,0.128089,0.263479,0.930684,len,Impingement
4,11,0.762041,#,1,0.762041,1.41014,0.762041,0.421227,6.362905,1.41014,len,SCBSurvey
5,8,0.325612,#,1,0.325612,0.504045,0.325612,0.162855,1.289125,0.504045,age,NWFSCTrawl
